River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.10,1.05,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.15,3.10,Normal,,1.2,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.55,10.46,Normal,,6.5,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.77,1.55,Normal,,6.1,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.86,0.85,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.79,0.78,Normal,,9.9,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.91,0.91,Normal,,2.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.28,2.26,Normal,,45,,.5
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.24,7.23,Normal,,5.1,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.25,3.11,Normal,,3.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,6.04,6.01,Minor Flood,Falling,10.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.98,7.02,Minor Flood,Rising,58,,.3
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.90,3.92,Alert,Rising,,23.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.11,2.95,Normal,,32,,.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.99,2.00,Minor Flood,Rising,83.3,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,7.07,7.01,Minor Flood,Falling,40,,.9
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.10,2.80,Normal,,52,,.5
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.55,1.49,Normal,,65,,.9
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.44,2.68,Normal,,1.5,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.37,1.37,Normal,,0.5,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.14,1.14,Normal,,5.5,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.77,1.77,Normal,,2.5,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.28,1.28,Normal,,1.6,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.51,1.49,Normal,,,18.8,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.06,1.04,Normal,,38,,.4
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.18,1.14,Normal,,34,,.2
,,Manampitiya ( Old),m,3.50,5.00,6.00,1.32,1.34,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,2.46,2.48,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.73,-0.79,Normal,,,21.8,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.55,2.70,Normal,,2.1,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.26,1.26,Normal,,1.7,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.84,0.85,Normal,,35,,.8
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,4.08,4.01,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.06,1.06,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.54,4.51,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.41,0.40,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.63,1.63,Normal,,1.3,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.86,2.86,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.59,1.59,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.96,1.96,Normal,,0.0,,
