River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.80,2.65,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.30,4.24,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.39,11.35,Normal,,0.0
,Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.70,1.78,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.84,0.83,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.26,1.24,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.84,0.83,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.17,3.15,Alert,Falling,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.81,8.76,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.31,3.26,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.38,4.26,Alert,Falling,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.10,7.08,Minor Flood,Falling,0.0
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.98,2.87,Normal,,0.0
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,5.15,5.15,Major Flood,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.92,2.92,Major Flood,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.80,6.80,Minor Flood,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.39,2.39,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.38,1.37,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.07,3.05,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.72,1.70,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.14,4.10,Alert,Falling,0.0
