River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6.00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.70,2.70,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.00,3.99,Normal,,34.1,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.41,11.65,Normal,,,10.5,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.15,2.10,Normal,,,9.7,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.09,1.13,Normal,,,12.9,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.25,1.11,Normal,,37.2,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.30,1.32,Normal,,22.,,,4,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.43,2.39,Normal,,0.0,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.38,7.32,Normal,,28.1,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.99,3.11,Normal,,1,,6.6,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.39,3.36,Normal,,4.6,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.96,5.95,Alert,Falling,2.8,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.55,3.53,Alert,Falling,0.0,,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.49,2.46,Normal,,0.9,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.97,1.97,Minor Flood,,5.5,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.27,6.24,Minor Flood,Falling,0.0,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.96,1.93,Normal,,0.0,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.30,1.28,Normal,,0.0,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.64,3.63,Normal,,1.5,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.34,2.27,Normal,,6.1,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.93,4.91,Minor Flood,Falling,2.6,,,,
