දින්‍ය : 2026-04-28,,,,,
න්‍ගරය,උෂ්ණත්වය(ප්‍රස. අංශක),,සාප්‍රේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,35,26,95,60,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි තහෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති තේ
මඩකලපුව,33,27,90,70,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි තහෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති තේ
තකාළඹ,32,26,95,65,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි තහෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති තේ
ගාල්ල,32,25,95,70,වැසි තහෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති තේ
යාපනය,34,26,85,60,වැසි වාර කිහිපයක්
මහනුවර,32,23,95,55,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි තහෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති තේ
නුවරඑළිය,23,13,95,65,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි තහෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති තේ
රේනපුරය,34,25,95,65,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි තහෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති තේ
ිකුණාමලය,36,26,90,60,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි තහෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති තේ
මන්නාරම,33,27,90,60,ස්ත්‍වස්ත්‍ 2.00න් පසුව වැසි තහෝ ගිගුරුම් ස්ත්‍හිත වැසි ඇති තේ
