River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.80,1.90,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.08,3.02,Normal,,3.4,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.53,10.50,Normal,,16.6,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.65,1.57,Normal,,8.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.59,0.58,Normal,,2.6,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.14,1.10,Normal,,8.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.77,0.77,Normal,,1.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.15,2.15,Normal,,2.5,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.50,7.41,Normal,,8.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.66,2.63,Normal,,20.1,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.98,2.94,Normal,,9.9,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,5.98,5.97,Alert,Falling,11.8,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.70,2.86,Normal,,3,7.2
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.57,3.53,Alert,Falling,12.6,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.19,1.19,Normal,,9.2,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.29,4.37,Normal,,26.2,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.18,2.30,Normal,,83.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.65,0.96,Normal,,3,7.3
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.91,0.91,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.55,0.55,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.67,0.68,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.50,1.50,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.18,-0.18,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.02,1.02,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.58,0.58,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.42,0.42,Normal,,0.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.91,-0.92,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.23,0.22,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.90,-2.93,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.61,1.61,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.38,1.38,Normal,,4.6,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.37,0.36,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.69,1.68,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.52,0.52,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.29,1.28,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.16,0.15,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.40,0.40,Normal,,1.5,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.46,2.45,Normal,,3.3,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.22,1.22,Normal,,4.2,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.93,1.93,Normal,,4.3,
