දිනය : 2026-02-26,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,32,21,90,60,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,30,23,90,70,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,31,25,90,65,ප්‍රධාන වශයයන් වැසි රහිත
ගාල්ල,29,24,95,75,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,31,22,90,65,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,30,18,90,50,ප්‍රධාන වශයයන් වැසි රහිත
නුවරඑළිය,21,10,85,45,ප්‍රධාන වශයයන් වැසි රහිත
රත්නපුරය,35,22,95,50,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,30,23,90,65,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,31,25,85,60,ප්‍රධාන වශයයන් වැසි රහිත
