River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.00,0.80,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.41,2.46,Normal,,1.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.00,10.78,Normal,,0.5,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.55,1.45,Normal,,3,9.5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.95,0.92,Normal,,58.5,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.58,0.54,Normal,,21.9,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.67,0.66,Normal,,5.7,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.43,0.38,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.17,4.18,Normal,,0.6,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.25,1.22,Normal,,11.7,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.80,1.77,Normal,,1.9,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.55,2.64,Normal,,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.44,1.58,Normal,,0.0,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.95,1.87,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.25,0.29,Normal,,10.3,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.22,2.21,Normal,,17.4,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.34,0.36,Normal,,10.3,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.31,0.26,Normal,,8.4,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.89,0.87,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.26,1.29,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.09,1.05,Normal,,3.3,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.41,1.42,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.13,-0.13,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.73,0.72,Normal,,3.6,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.43,0.43,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.26,0.27,Normal,,3,1.1,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.29,0.30,Normal,,21.9,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.76,-2.79,Normal,,55.8,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.18,1.15,Normal,,0.5,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.93,0.88,Normal,,16.6,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.45,0.42,Normal,,21.8,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.90,2.81,Normal,,11.6,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.60,0.60,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.46,1.46,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.18,1.14,Normal,,89.7,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.59,0.63,Normal,,12.8,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.91,1.91,Normal,,11.9,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.13,1.13,Normal,,2.9,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.08,2.08,Normal,,3,8.1,
