ප්‍රධාන නගර සදහා කාලගුණ අනාවැකිය දි න ය : 2 0 2 5 - 1 2 -24,,,,,
නගරය,උෂණ් ත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,29,20,95,60,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,29,24,90,80,වැසි සව් ල්පයක්
යකාළඹ,32,24,85,80,ප්‍රධාන වශයයන් වැසි රහිත
ගාල්ල,29,24,95,60,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,30,21,80,65,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,29,19,90,70,වැසි සව් ල්පයක්
නුවරඑළිය,21,9,95,80,වැසි සව් ල්පයක්
රත්නපුරය,33,22,95,75,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,28,23,85,65,වැසි සව් ල්පයක්
මන්නාරම,29,25,85,65,ප්‍රධාන වශයයන් වැසි රහිත
