River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
3.00 am",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.00,2.90,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.28,4.22,Normal,,,9.5,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.00,10.91,Normal,,,9.1,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.62,1.55,Normal,,,9.2,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.28,1.25,Normal,,11,,.8,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.25,1.19,Normal,,,8.9,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.84,0.83,Normal,,4.4,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.94,2.95,Normal,,4.2,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.64,8.63,Normal,,,9.7,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.90,3.84,Normal,,16.9,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.02,4.00,Alert,Falling,20.9,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.07,7.08,Minor Flood,Rising,2.4,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.11,3.08,Normal,,6.2,,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.12,2.14,Normal,,3.4,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.05,1.04,Normal,,3.2,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.81,3.79,Normal,,1.2,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.87,0.88,Normal,,6.4,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,-,-,,,5.7,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.10,1.10,Normal,,1.5,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.21,1.20,Normal,,2.2,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.16,1.16,Normal,,0.0,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.52,1.51,Normal,,0.0,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.38,0.37,Normal,,0.0,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.10,1.08,Normal,,0.9,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.42,0.41,Normal,,0.0,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.25,0.25,Normal,,0.0,,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.55,0.53,Normal,,0.0,,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.16,2.24,Normal,,,9.4,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.65,1.61,Normal,,19.6,,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.53,0.52,Normal,,0.0,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.89,2.86,Normal,,0.0,,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.67,0.67,Normal,,1.8,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.94,3.90,Normal,,22.8,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.82,3.80,Normal,,6.3,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.77,2.73,Normal,,1.1,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.56,4.52,Minor Flood,Falling,6.8,,,,
