River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.60,2.40,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.05,3.10,Normal,,26.2,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.20,11.11,Normal,,22.2,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.63,1.71,Normal,,39.3,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.32,1.16,Normal,,11.4,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.91,0.86,Normal,,38.4,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.93,0.93,Normal,,6.5,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,NA,1.80,Normal,,10.9,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.78,7.90,Normal,,132.5,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.94,4.99,Normal,,68.,4
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.50,5.54,Alert,Rising,41.4,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.96,6.04,Alert,Rising,90.,8
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.54,3.59,Alert,Rising,9.7,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,5.80,5.89,Alert,Rising,137.4,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.04,1.10,Normal,,2.5,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.22,6.30,Minor Flood,Rising,7.7,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,4.76,4.76,Alert,,30.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,4.45,4.30,Minor Flood,Falling,76.,5
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,3.55,3.32,Alert,Falling,23.1,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.60,1.52,Normal,,4.4,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.12,1.13,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.69,1.59,Normal,,31.8,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.07,0.07,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.79,0.79,Normal,,2.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.55,0.58,Normal,,3.9,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.41,0.41,Normal,,0.6,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.58,0.55,Normal,,11.8,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.86,-1.86,Normal,,15.7,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.60,3.82,Normal,,22.1,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.51,1.47,Normal,,47.0,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.38,0.41,Normal,,0.3,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.81,2.15,Normal,,1.7,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.63,0.62,Normal,,6.3,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.59,1.58,Normal,,3.9,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.77,0.78,Normal,,43.4,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.78,2.80,Normal,,7.2,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.68,1.76,Normal,,10.1,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.28,3.28,Normal,,86.,7
