"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :03rd November 2023 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"ඌව
Cth khfhzk;
Uva",1,"බදුල්ල
gJs;is
Badulla",Haldumulla,Landslide Risk,2023.10.14-15,269,1025,,,,,,,,4,159,538,
,,,Bandarawela,Cutting Faliure,2023.10.14,3,7,,,,,3,,,1,3,7,
,,,Haputale,Landslide Risk,2023.10.21-23,26,103,,,,,,,,2,26,103,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,298,1135,0,0,0,0,3,0,0,7,188,648,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,298,1135,0,0,0,0,3,0,0,7,188,648,
"දකුනු පලොත
njd; khfhzk;
Southern",2,"මොතර
khj;jiw
Matara",Akuressa,Flood / Heavy Rain,"2023.09.28 to
2023.10.23",31,130,,,,11,29,,,,,,
,,,Thihagoda,,,120,492,,,,,33,,,,,,
,,,Maalimboda,,,15,66,,,,,15,,,,,,
,,,Devinuwara,,,176,694,,,,,53,,,1,4,21,
,,,Weligama,,,124,337,,,,,44,,,,,,
,,,Kamburupitiya,,,102,433,,,,,39,,,,,,
,,,Athuraliya,,,17,57,,,,,17,,,,,,
,,,Kirinda puhulwela,,,41,156,,,,,41,,,,,,
,,,Pasgoda,,,99,387,,,,,10,,,,,,
,,,Hakmana,,,72,275,,,,,72,,,,,,
,,,Matara,,,128,557,,,,8,119,,,,,,
,,,Pitabeddara,,,39,147,,,,,39,,,,,,
,,,Mulatiyana,,,39,162,,,,,11,,,,,,
,,,Kotapola,,,9,45,,,,,7,,,,,,
,,,Dikwella,,,110,415,,,,,110,,,,,,
,,,Welipitiya,,,38,133,,,,2,30,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1160,4486,0,0,0,21,669,0,0,1,4,21,
,3,"හම්බන්තොට
`k;ghe;Njhl;il
Hambantota",Angunakolapelessa,Heavy Rain,2023.11.01,1,5,,,,,1,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1,5,0,0,0,0,1,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,1161,4491,0,0,0,21,670,0,0,1,4,21,
,4,"රත්නපුර
,uj;jpdGhp
Rathnapura",Balangoda,Heavy Rain,2023.11.01,3,9,,,,,3,,,,,,
,,,Rathnapura,Heavy Rain,2023.11.01,4,16,,,,,4,,,,,,
,,,,Rock Fallen,2023.11.01,1,4,,,,,1,,,,,,
,,,Pelmadulla,Heavy Rain,2023.11.01,1,4,,,,,1,,,,,,
,,,,Rock Fallen,2023.11.01,1,3,,,,,1,,,,,,
,,,,Cutting Faliure,2023.11.01,1,2,,,,,1,,,,,,
,,,Kolonna,Cutting Faliure,2023.11.01,1,2,,,,,1,,,,,,
,,,Opanayake,Heavy Rain,202.11.01,4,12,,,,,4,,,,,,
,,,Kuruwita,Lightning,2023.11.01,1,4,,,,,1,1,,,,,
,,,,Heavy Rain,2023.11.01,1,4,,,,,1,,,,,,
,,,,High Wind,2023.11.01,2,6,,,,,2,,,,,,
,,,Nivithigala,Heavy Rain / Wind,2023.11.01,1,4,,,,,1,,,,,,
,,,Kalawana,Heavy Rain,2023.11.01,2,6,,,,,2,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,23,76,0,0,0,0,23,1,0,0,0,0,
