,"ය
ක
ක්
ි
රස
දි",,,"ව
ා
ය
ඛ්‍
ාං
ස
.
ේ
ල
.
ා
ප්‍ර",,,,"ව
ා
ද
ප
ආ",,,,"ේ
වු
ප
ූ
ක්
ල
ට
ම
ෑ
ප
ල
බ",,,,"න්
යි
ල
ග
ද්
පු
ූ
ක්
ල
ට
ම
ෑ
ප
ල
බ",,,,"ම්
ෑ
ය
ය
මි",,,"න්
ය
ල
ග
ද්
පු
ූ
ල
ා
ව
තු",,"න්
හ
ද
රු
තු
අ",,,"නි
ා
හ
ස
ා
ව
නි
ණ
ර්
පූ",,,"නි
ා
හ
ස
ා
ව
නි
ධ
ර්
අ",,,,"ව
ා
ය
ඛ්‍
ාං
ස
න
ා
ථ
රස
ත
ක්‍ෂි
ර
ආ",,,"ව
ා
ය
ඛ්‍
ාං
ස
ේ
වු
ප",,,,"ව
ා
ය
ඛ්‍
ාං
ස
ල
ග
ද්
පු",,,,"ේ
වු
ප
න
ටි
සි
ල
ව
රස
ව
ව
ල
නි
ති
ා
ඥ",,,,"න්
යි
ල
ග
ද්
පු
න
ටි
සි
ල
ව
රස
ව
ව
ල
නි
ති
ා
ඥ",,
ගම්පහ,,,13,,,,"ගංවතුර / තද
වර්ෂාපතනය /
දැඩි සුළං /
නාය යාම්",,,,37865,,,,153535,,,,,,,1,,,,,3,,,126,,,,17,,,1008,,,,4337,,,,83,,,,340,,,
රත්තනපුර,,,07,,,,,,,,852,,,,3249,,,,3,,,1,,,,,3,,,441,,,,7,,,53,,,,183,,,,529,,,,2131,,,
ලකාළඹ,,,09,,,,,,,,11023,,,,45977,,,,,,,,,,,,,,,22,,,,31,,,2395,,,,10685,,,,,,,,,,,
පුත්තතලම,,,14,,,,,,,,3433,,,,12506,,,,1,,,,,1,,,,,,30,,,,,,,,,,,,,,,,,,,,,,
කළුතර,,,12,,,,,,,,766,,,,2960,,,,1,,,,,,,,2,,,46,,,,10,,,45,,,,161,,,,,,,,,,,
නුවරඑළිය,,,01,,,,,,,,67,,,,290,,,,,,,,,,,,,,,,,,,1,,,10,,,,44,,,,,,,,,,,
කෑගේල,,,11,,,,,,,,110,,,,475,,,,5,,,,,,,,3,,,49,,,,3,,,17,,,,89,,,,,,,,,,,
මහනුවර,,,04,,,,,,,,10,,,,35,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
එකතුව,,,,71,,,,,,,,54126,,,,219027,,,,10,,,2,,1,,,11,,,724,,,,69,,,3528,,,,15499,,,,612,,,,2471,,
