River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,0.70,0.60,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.92,3.02,Normal,,29.3,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.97,12.25,Normal,,22.9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.84,2.56,Normal,,51.1,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.58,0.59,Normal,,13.1,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,3.00,2.60,Normal,,48.3,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.52,1.38,Normal,,94.9,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.19,1.20,Normal,,5.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.30,7.38,Normal,,34.2,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.87,6.10,Alert,Rising,34.5,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.42,3.49,Normal,,22.1,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.05,4.15,Normal,,43.1,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.90,2.81,Normal,,43.1,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.24,2.27,Normal,,10.9,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.03,1.06,Normal,,34.5,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.20,4.25,Normal,,12.3,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.14,2.19,Normal,,55.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.87,0.88,Normal,,33.7,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.73,0.73,Normal,,3.7,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.11,-0.11,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.54,0.54,Normal,,2.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.05,1.05,Normal,,4.4,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.28,-0.28,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.75,0.75,Normal,,37.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.51,0.50,Normal,,29.8,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.12,0.12,Normal,,0.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.17,-1.17,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.03,-0.03,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.81,-2.84,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.18,3.70,Normal,,9.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,3.51,3.30,Normal,,68.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.21,0.21,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.45,1.46,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.40,0.40,Normal,,4.1,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.82,0.82,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.04,0.05,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.15,0.15,Normal,,0.3,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.12,2.13,Normal,,5.4,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.11,1.11,Normal,,6.1,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.13,1.12,Normal,,14.9,
