River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water Level
Rising or
Falling","18 Hr RF
in mm at
3:00 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.51,2.51,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.24,7.11,Normal,,24.9,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.79,1.72,Normal,,0.7,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.11,4.00,Alert,Falling,,7.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.76,6.74,Minor Flood,Falling,15.,,,6
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.49,2.48,Normal,,1,,0.8,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.96,3.94,Alert,Falling,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.38,1.37,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.50,4.48,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.06,1.02,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,-,-,,,0.0,,,
