River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","06 Hr RF
in mm at
3.00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.85,4.05,Alert,Rising,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.60,5.63,Normal,,22.6,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.03,13.11,Normal,,18.9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.87,2.10,Normal,,28.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.86,2.82,Normal,,24.9,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.60,1.88,Normal,,26.4,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.41,1.40,Normal,,13.1,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.88,2.88,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.45,8.44,Normal,,4.2,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.52,4.56,Normal,,6.6,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.36,3.30,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.63,6.61,Minor Flood,Falling,1.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.19,3.18,Normal,,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.93,2.89,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.35,1.35,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.19,5.19,Alert,,4.2,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.84,1.83,Normal,,5.8,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.18,1.15,Normal,,11.6,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.35,1.35,Normal,,2.8,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.53,0.53,Normal,,1.4,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.79,0.79,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.35,1.35,Normal,,1.7,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.11,-0.09,Normal,,16.2,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.80,0.80,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.48,0.48,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.40,0.40,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.62,0.63,Normal,,1.4,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.03,-3.06,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.08,3.11,Normal,,8.9,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.10,2.35,Normal,,32.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.36,0.37,Normal,,0.2,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.87,1.87,Normal,,5.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,3.2,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.62,1.63,Normal,,3.4,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,2.14,2.18,Normal,,0.6,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.80,5.83,Alert,Rising,6.7,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.97,3.96,Normal,,18.7,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.10,3.15,Normal,,17.9,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.79,4.79,Minor Flood,,5.4,
