River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,5.00,4.60,Alert,Falling,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.28,6.21,Normal,,1.7,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.71,11.70,Normal,,,6.2,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.00,Normal,,11.1,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.09,1.09,Normal,,,5.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.44,1.48,Normal,,14.9,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.88,0.87,Normal,,3.3,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,5.52,5.51,Major Flood,Falling,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,11.88,11.80,Minor Flood,Falling,9.5,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.18,6.14,Alert,Falling,14.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.29,4.26,Alert,Falling,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,10.21,10.06,Major Flood,Falling,,5.1,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,5.58,5.57,Major Flood,Falling,1.2,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.85,2.89,Normal,,3.2,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.86,2.82,Major Flood,Falling,11.3,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.21,6.20,Minor Flood,Falling,,4.8,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.95,1.96,Normal,,13.5,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.10,1.14,Normal,,12.7,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.12,1.12,Normal,,2.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.36,0.40,Normal,,1.8,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.70,0.70,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.27,1.27,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.21,-0.21,Normal,,11.4,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.77,0.77,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.41,0.41,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.39,0.39,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.23,0.18,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.88,-2.89,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.67,2.58,Normal,,,7.2,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.48,1.50,Normal,,1.7,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.37,0.37,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.51,1.51,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.51,0.51,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.23,1.22,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.20,3.18,Normal,,1.5,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.85,1.84,Normal,,0.8,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.52,4.46,Minor Flood,Falling,0.5,,
