ප්‍රධාන්‍ න්‍ගර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 5 - 1 2 -11,,,,,
න්‍ගරය,උෂ්ණත්වය(දස. අංශ්‍ක),,සාදේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,27,23,95,85,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
මඩකලපුව,29,24,95,75,විටින් විට වැසි
හකාළඹ,31,25,95,65,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ොල්ල,30,24,95,80,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,28,24,95,70,විටින් විට වැසි
ම නුවර,27,21,95,85,විටින් විට වැසි
නුවරඑළිය,18,14,95,70,විටින් විට වැසි
රත්නපුරය,32,23,95,85,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ත්‍රිකුණාමලය,29,24,95,65,විටින් විට වැසි
මන්නාරම,28,24,95,85,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
