River Basin,Tributory/River,Gauging Station,,,,,,,"Water
Level
before
1hr","Water
Level at
9:00 am",Remarks,"Water
24
Level
in
Rising or
9:
Falling"
,,Station,Cordinate,"Catchment
Area (km2)",Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Gin Ganga,Gin Ganga,Tawalama,"6° 20' 33.3'' N
80° 19' 55.2'' E",377,m,4.00,6.00,7.50,3.02,3.01,Normal,
(RB 09),Gin Ganga,Baddegama,"6° 10' 25'' N
80° 10' 33.1'' E",749,m,3.50,4.00,5.00,4.30,4.30,Minor Flood,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,"6° 00' 40'' N
80° 31' 35'' E",852,m,1.40,1.70,2.80,1.86,1.86,Minor Flood,
,Nilwala Ganga,Panadugama,"6° 08' 00'' N
80° 29' 00'' E",445,m,5.00,6.00,7.50,5.87,5.83,Alert,Falling
,Nilwala Ganga,Pitabeddara,"6° 12' 48.2'' N
80° 28' 34.5'' E",310,m,4.00,5.00,6.50,1.86,1.83,Normal,
,Urubokka Ganga,Urawa,"6° 14' 11.8'' N
80° 34' 18'' E",59,m,2.50,4.00,6.00,1.02,1.02,Normal,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,"6° 20′ 43″ N
80° 54′ 05″ E",1542,m,1.80,3.50,5.00,1.27,1.26,Normal,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,"6° 28' 5.9'' N
81° 8' 2.8'' E",749,m,4.00,5.00,5.50,0.36,0.36,Normal,
,Kirindi Oya,Wellawaya,"6° 42' 33.3'' N
81° 6' 41.6'' E",172,m,4.40,5.40,5.90,0.65,0.65,Normal,
,Kuda Oya,Kuda Oya,"6° 31' 28.8'' N
81° 07' 24'' E",291,m,6.90,8.40,8.80,1.30,1.30,Normal,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,"6° 24' 60.0'' N
81° 19' 57'' E",796.8,m,4.00,4.60,6.50,-0.23,-0.23,Normal,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,"6° 53' 42.4'' N
81° 17' 49.3'' E",216,m,5.00,6.00,7.50,0.71,0.71,Normal,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,"6° 54' 16.5'' N
81° 32' 44.4'' E",295,m,4.50,6.00,7.00,0.55,0.55,Normal,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,"7° 23' 0'' N
81° 11' 30'' E",159,m,4.00,4.50,6.00,0.08,0.07,Normal,
,,Manampitiya ( Old),"7° 54' 53.3'' N
81° 5' 10'' E",7418,m,3.50,5.00,6.00,-0.88,-0.88,Normal,
,Mahaweli Ganga,Manampitiya (HMIS),"7° 54' 53.3'' N
81° 5' 10'' E",7418,m,4.65,6.15,7.15,0.26,0.26,Normal,
,Mahaweli Ganga,Weragantota,"7° 19' 0'' N
80° 59' 18.3'' E",4092,m,5.00,6.00,8.00,-2.90,-2.94,Normal,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,"7° 16' 3'' N
80° 36' 30'' E",1168,m,5.00,7.00,9.00,2.72,2.80,Normal,
(RB 60),Mahaweli Ganga,Nawalapitiya,"7° 2' 55'' N
80° 32' 3'' E",176,m,3.50,5.00,6.00,1.79,1.81,Normal,
,Badulu Oya,Taldena,"7° 5' 26.7'' N
81° 2' 53.3'' E",276,m,3.00,4.00,5.00,0.34,0.34,Normal,
,Agra Oya,Calidonia,"6° 54' 8.3'' N
80° 42' 00'' E",148,m,3.00,3.50,4.50,1.02,1.00,Normal,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,"8° 34' 39.44'' N
80° 52' 43.25'' E",720,m,6.00,7.50,10.50,1.68,1.69,Normal,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,"8° 43' 19'' N
80° 40' 50'' E",117,m,4.00,5.00,6.00,0.47,0.47,Normal,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,"8° 35' 13.57'' N
80° 16' 31.14'' E",2116,m,5.00,6.80,7.80,1.14,1.15,Normal,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,"7° 58' 13.3'' N
80° 15' 18.3'' E",299,m,4.84,5.94,8.00,0.14,0.14,Normal,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),"7° 43' 36'' N
80° 15' 48'' E",1370,m,3.30,4.20,4.70,0.92,0.92,Normal,
Maha Oya,Maha Oya,Badalgama,"7° 18' 3.3'' N
79° 58' 50'' E",1360,m,5.00,6.20,9.60,2.82,2.79,Normal,
(RB 102),Maha Oya,Giriulla,"7° 19' 30'' N
80° 6' 53.3'' E",1192,m,5.50,6.50,7.50,1.57,1.56,Normal,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,"7° 7' 0'' N
80° 4' 54.5'' E",153,m,3.30,4.40,5.50,1.82,1.84,Normal,
