River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.20,1.25,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.44,0.44,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.55,8.51,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.50,1.53,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.24,0.23,Normal,,2.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.29,0.26,Normal,,0.5,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.43,0.43,Normal,,0.8,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.42,0.41,Normal,,0.3,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.01,4.00,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,0.40,0.39,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.81,0.80,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.82,1.76,Normal,,0.0,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.04,0.95,Normal,,0.0,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,0.67,0.65,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.28,0.25,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.39,2.39,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.47,0.46,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.17,0.17,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.83,0.82,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.13,0.13,Normal,,3.1,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.50,0.50,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.16,1.16,Normal,,0.5,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.27,-0.27,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.80,0.80,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.43,0.43,Normal,,0.3,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.63,0.63,Normal,,3.6,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.34,-0.29,Normal,,,6.5
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.80,0.85,Normal,,,6.5
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.47,-2.52,Normal,,1.6,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.60,1.63,Normal,,,7.3
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.69,0.69,Normal,,,8.7
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.45,0.44,Normal,,,7.1
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.08,2.16,Normal,,18.3,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.53,0.54,Normal,,,6.2
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.35,1.35,Normal,,3.7,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.37,0.37,Normal,,1.8,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.50,0.50,Normal,,,6.8
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.93,1.93,Normal,,,6.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.91,0.91,Normal,,,6.5
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.32,0.31,Normal,,3.5,
